date,views,views_unique,clones,clones_unique
2026-07-04,0,0,0,0
2026-07-05,0,0,0,0
2026-07-06,0,0,0,0
2026-07-07,0,0,0,0
2026-07-08,0,0,0,0
2026-07-09,0,0,0,0
2026-07-10,0,0,0,0
2026-07-11,0,0,0,0
2026-07-12,0,0,0,0
2026-07-13,0,0,0,0
2026-07-14,2,1,3,3
2026-07-15,79,12,75,41
2026-07-16,48,12,50,23
2026-07-17,91,34,5,5
2026-07-18,142,8,96,45
2026-07-19,44,5,16,12
2026-07-20,6,2,14,9
2026-07-21,4,1,12,12
2026-07-22,22,1,17,10
2026-07-23,66,3,24,15
2026-07-24,8,2,5,4
2026-07-25,0,0,1,1
2026-07-26,1,1,2,2
2026-07-27,8,3,2,1
2026-07-28,2,1,3,3
2026-07-29,0,0,0,0
